participantId,visual,trialCount,truePercentage,userAnswer,error
ikoyqkyq,vertical_bar,1,15,15,0
ikoyqkyq,vertical_bar,2,7,5,1.0874628412503393
ikoyqkyq,vertical_bar,3,44,40,2.0443941193584534
ikoyqkyq,pie,4,98,95,1.6438561897747248
ikoyqkyq,horizontal_bar,5,81,80,0.16992500144231237
ikoyqkyq,pie,6,31,25,2.6147098441152083
ikoyqkyq,horizontal_bar,7,8,15,2.8328900141647417
ikoyqkyq,pie,8,89,95,2.6147098441152083
ikoyqkyq,pie,9,73,85,3.599912842187128
ikoyqkyq,pie,10,59,55,2.0443941193584534
ikoyqkyq,horizontal_bar,11,0,0,0
ikoyqkyq,pie,12,78,80,1.0874628412503393
ikoyqkyq,horizontal_bar,13,59,65,2.6147098441152083
ikoyqkyq,horizontal_bar,14,9,15,2.6147098441152083
ikoyqkyq,pie,15,56,45,3.4757334309663976
ikoyqkyq,horizontal_bar,16,38,35,1.6438561897747248
ikoyqkyq,vertical_bar,17,14,20,2.6147098441152083
ikoyqkyq,vertical_bar,18,72,70,1.0874628412503393
ikoyqkyq,horizontal_bar,19,21,20,0.16992500144231237
ikoyqkyq,pie,20,0,0,0
ikoyqkyq,horizontal_bar,21,84,85,0.16992500144231237
ikoyqkyq,horizontal_bar,22,74,65,3.189824558880017
ikoyqkyq,pie,23,9,10,0.16992500144231237
ikoyqkyq,vertical_bar,24,72,65,2.8328900141647417
ikoyqkyq,vertical_bar,25,59,80,4.400879436282184
ikoyqkyq,vertical_bar,26,80,80,0
ikoyqkyq,pie,27,19,15,2.0443941193584534
ikoyqkyq,pie,28,89,90,0.16992500144231237
ikoyqkyq,vertical_bar,29,42,40,1.0874628412503393
ikoyqkyq,vertical_bar,30,49,40,3.189824558880017
ikoyqkyq,pie,31,82,75,2.8328900141647417
ikoyqkyq,vertical_bar,32,100,100,0
ikoyqkyq,pie,33,3,5,1.0874628412503393
ikoyqkyq,horizontal_bar,34,44,50,2.6147098441152083
ikoyqkyq,vertical_bar,35,23,20,1.6438561897747248
ikoyqkyq,horizontal_bar,36,58,60,1.0874628412503393
ikoyqkyq,pie,37,0,0,0
ikoyqkyq,pie,38,77,85,3.0223678130284544
ikoyqkyq,pie,39,60,65,2.357552004618084
ikoyqkyq,horizontal_bar,40,3,5,1.0874628412503393
ikoyqkyq,vertical_bar,41,84,90,2.6147098441152083
ikoyqkyq,pie,42,44,40,2.0443941193584534
ikoyqkyq,horizontal_bar,43,8,10,1.0874628412503393
ikoyqkyq,horizontal_bar,44,71,70,0.16992500144231237
ikoyqkyq,pie,45,9,15,2.6147098441152083
ikoyqkyq,vertical_bar,46,25,35,3.3398500028846247
ikoyqkyq,vertical_bar,47,26,25,0.16992500144231237
ikoyqkyq,horizontal_bar,48,78,75,1.6438561897747248
ikoyqkyq,horizontal_bar,49,72,70,1.0874628412503393
ikoyqkyq,pie,50,54,60,2.6147098441152083
ikoyqkyq,horizontal_bar,51,65,75,3.3398500028846247
ikoyqkyq,horizontal_bar,52,7,10,1.6438561897747248
ikoyqkyq,horizontal_bar,53,75,75,0
ikoyqkyq,horizontal_bar,54,37,45,3.0223678130284544
ikoyqkyq,vertical_bar,55,16,15,0.16992500144231237
ikoyqkyq,vertical_bar,56,4,5,0.16992500144231237
ikoyqkyq,vertical_bar,57,89,85,2.0443941193584534
ikoyqkyq,vertical_bar,58,76,80,2.0443941193584534
ikoyqkyq,vertical_bar,59,63,60,1.6438561897747248
ikoyqkyq,pie,60,10,10,0
uo8tput6,vertical_bar,1,14,15,0.16992500144231237
uo8tput6,horizontal_bar,2,64,70,2.6147098441152083
uo8tput6,horizontal_bar,3,41,45,2.0443941193584534
uo8tput6,pie,4,46,45,0.16992500144231237
uo8tput6,pie,5,46,55,3.189824558880017
uo8tput6,horizontal_bar,6,98,95,1.6438561897747248
uo8tput6,pie,7,30,35,2.357552004618084
uo8tput6,pie,8,52,55,1.6438561897747248
uo8tput6,vertical_bar,9,15,15,0
uo8tput6,vertical_bar,10,82,80,1.0874628412503393
uo8tput6,pie,11,20,15,2.357552004618084
uo8tput6,vertical_bar,12,45,50,2.357552004618084
uo8tput6,pie,13,98,90,3.0223678130284544
uo8tput6,horizontal_bar,14,78,80,1.0874628412503393
uo8tput6,horizontal_bar,15,72,70,1.0874628412503393
uo8tput6,vertical_bar,16,15,20,2.357552004618084
uo8tput6,pie,17,31,25,2.6147098441152083
uo8tput6,horizontal_bar,18,76,80,2.0443941193584534
uo8tput6,horizontal_bar,19,43,45,1.0874628412503393
uo8tput6,pie,20,28,35,2.8328900141647417
uo8tput6,horizontal_bar,21,97,90,2.8328900141647417
uo8tput6,vertical_bar,22,75,80,2.357552004618084
uo8tput6,pie,23,62,65,1.6438561897747248
uo8tput6,horizontal_bar,24,16,20,2.0443941193584534
uo8tput6,pie,25,84,100,4.011227255423254
uo8tput6,pie,26,16,20,2.0443941193584534
uo8tput6,horizontal_bar,27,40,40,0
uo8tput6,vertical_bar,28,56,55,0.16992500144231237
uo8tput6,vertical_bar,29,18,20,1.0874628412503393
uo8tput6,pie,30,100,90,3.3398500028846247
uo8tput6,pie,31,69,80,3.4757334309663976
uo8tput6,pie,32,77,85,3.0223678130284544
uo8tput6,horizontal_bar,33,41,40,0.16992500144231237
uo8tput6,pie,34,53,60,2.8328900141647417
uo8tput6,vertical_bar,35,79,85,2.6147098441152083
uo8tput6,pie,36,91,95,2.0443941193584534
uo8tput6,pie,37,97,95,1.0874628412503393
uo8tput6,horizontal_bar,38,35,40,2.357552004618084
uo8tput6,horizontal_bar,39,54,60,2.6147098441152083
uo8tput6,pie,40,56,55,0.16992500144231237
uo8tput6,pie,41,88,85,1.6438561897747248
uo8tput6,vertical_bar,42,42,45,1.6438561897747248
uo8tput6,vertical_bar,43,32,35,1.6438561897747248
uo8tput6,vertical_bar,44,5,5,0
uo8tput6,horizontal_bar,45,67,75,3.0223678130284544
uo8tput6,vertical_bar,46,33,40,2.8328900141647417
uo8tput6,vertical_bar,47,12,10,1.0874628412503393
uo8tput6,horizontal_bar,48,11,20,3.189824558880017
uo8tput6,horizontal_bar,49,64,60,2.0443941193584534
uo8tput6,horizontal_bar,50,54,50,2.0443941193584534
uo8tput6,vertical_bar,51,36,40,2.0443941193584534
uo8tput6,horizontal_bar,52,94,90,2.0443941193584534
uo8tput6,horizontal_bar,53,93,95,1.0874628412503393
uo8tput6,vertical_bar,54,70,80,3.3398500028846247
uo8tput6,horizontal_bar,55,77,80,1.6438561897747248
uo8tput6,vertical_bar,56,98,100,1.0874628412503393
uo8tput6,vertical_bar,57,57,60,1.6438561897747248
uo8tput6,vertical_bar,58,51,50,0.16992500144231237
uo8tput6,pie,59,16,15,0.16992500144231237
uo8tput6,vertical_bar,60,77,80,1.6438561897747248
m53pdxbn,vertical_bar,1,76,80,2.0443941193584534
m53pdxbn,horizontal_bar,2,7,10,1.6438561897747248
m53pdxbn,vertical_bar,3,75,75,0
m53pdxbn,pie,4,65,85,4.330916878114617
m53pdxbn,vertical_bar,5,0,0,0
m53pdxbn,horizontal_bar,6,88,90,1.0874628412503393
m53pdxbn,vertical_bar,7,73,80,2.8328900141647417
m53pdxbn,pie,8,14,15,0.16992500144231237
m53pdxbn,horizontal_bar,9,43,45,1.0874628412503393
m53pdxbn,vertical_bar,10,69,75,2.6147098441152083
m53pdxbn,pie,11,14,20,2.6147098441152083
m53pdxbn,horizontal_bar,12,47,50,1.6438561897747248
m53pdxbn,horizontal_bar,13,32,40,3.0223678130284544
m53pdxbn,pie,14,66,95,4.864186144654281
m53pdxbn,pie,15,90,100,3.3398500028846247
m53pdxbn,horizontal_bar,16,27,35,3.0223678130284544
m53pdxbn,horizontal_bar,17,30,35,2.357552004618084
m53pdxbn,horizontal_bar,18,0,0,0
m53pdxbn,vertical_bar,19,28,30,1.0874628412503393
m53pdxbn,pie,20,17,15,1.0874628412503393
m53pdxbn,horizontal_bar,21,23,25,1.0874628412503393
m53pdxbn,pie,22,71,90,4.257387842692652
m53pdxbn,pie,23,0,0,0
m53pdxbn,horizontal_bar,24,41,35,2.6147098441152083
m53pdxbn,horizontal_bar,25,23,25,1.0874628412503393
m53pdxbn,vertical_bar,26,82,85,1.6438561897747248
m53pdxbn,horizontal_bar,27,19,20,0.16992500144231237
m53pdxbn,horizontal_bar,28,58,60,1.0874628412503393
m53pdxbn,pie,29,3,5,1.0874628412503393
m53pdxbn,horizontal_bar,30,0,0,0
m53pdxbn,vertical_bar,31,65,55,3.3398500028846247
m53pdxbn,horizontal_bar,32,59,70,3.4757334309663976
m53pdxbn,vertical_bar,33,0,0,0
m53pdxbn,vertical_bar,34,75,75,0
m53pdxbn,vertical_bar,35,27,25,1.0874628412503393
m53pdxbn,vertical_bar,36,9,15,2.6147098441152083
m53pdxbn,pie,37,49,65,4.011227255423254
m53pdxbn,pie,38,64,60,2.0443941193584534
m53pdxbn,horizontal_bar,39,92,90,1.0874628412503393
m53pdxbn,vertical_bar,40,78,80,1.0874628412503393
m53pdxbn,pie,41,76,80,2.0443941193584534
m53pdxbn,vertical_bar,42,92,95,1.6438561897747248
m53pdxbn,vertical_bar,43,55,55,0
m53pdxbn,vertical_bar,44,24,25,0.16992500144231237
m53pdxbn,pie,45,19,25,2.6147098441152083
m53pdxbn,vertical_bar,46,66,70,2.0443941193584534
m53pdxbn,pie,47,55,65,3.3398500028846247
m53pdxbn,vertical_bar,48,42,45,1.6438561897747248
m53pdxbn,pie,49,70,70,0
m53pdxbn,vertical_bar,50,83,85,1.0874628412503393
m53pdxbn,horizontal_bar,51,60,65,2.357552004618084
m53pdxbn,pie,52,38,35,1.6438561897747248
m53pdxbn,horizontal_bar,53,33,30,1.6438561897747248
m53pdxbn,vertical_bar,54,16,20,2.0443941193584534
m53pdxbn,pie,55,13,15,1.0874628412503393
m53pdxbn,pie,56,24,20,2.0443941193584534
m53pdxbn,pie,57,76,70,2.6147098441152083
m53pdxbn,pie,58,56,70,3.820178962415188
m53pdxbn,horizontal_bar,59,58,65,2.8328900141647417
m53pdxbn,horizontal_bar,60,77,70,2.8328900141647417
em0rbvtr,pie,1,25,30,2.357552004618084
em0rbvtr,vertical_bar,2,59,60,0.16992500144231237
em0rbvtr,horizontal_bar,3,99,95,2.0443941193584534
em0rbvtr,pie,4,56,70,3.820178962415188
em0rbvtr,pie,5,35,40,2.357552004618084
em0rbvtr,vertical_bar,6,0,0,0
em0rbvtr,vertical_bar,7,66,65,0.16992500144231237
em0rbvtr,horizontal_bar,8,71,75,2.0443941193584534
em0rbvtr,horizontal_bar,9,64,65,0.16992500144231237
em0rbvtr,horizontal_bar,10,77,80,1.6438561897747248
em0rbvtr,horizontal_bar,11,36,40,2.0443941193584534
em0rbvtr,horizontal_bar,12,94,95,0.16992500144231237
em0rbvtr,pie,13,3,5,1.0874628412503393
em0rbvtr,horizontal_bar,14,90,90,0
em0rbvtr,horizontal_bar,15,14,15,0.16992500144231237
em0rbvtr,pie,16,55,70,3.9188632372745946
em0rbvtr,vertical_bar,17,70,65,2.357552004618084
em0rbvtr,horizontal_bar,18,65,80,3.9188632372745946
em0rbvtr,horizontal_bar,19,11,10,0.16992500144231237
em0rbvtr,horizontal_bar,20,52,50,1.0874628412503393
em0rbvtr,pie,21,57,60,1.6438561897747248
em0rbvtr,vertical_bar,22,66,60,2.6147098441152083
em0rbvtr,horizontal_bar,23,29,35,2.6147098441152083
em0rbvtr,vertical_bar,24,77,75,1.0874628412503393
em0rbvtr,horizontal_bar,25,1,5,2.0443941193584534
em0rbvtr,horizontal_bar,26,27,35,3.0223678130284544
em0rbvtr,horizontal_bar,27,4,5,0.16992500144231237
em0rbvtr,vertical_bar,28,88,100,3.599912842187128
em0rbvtr,pie,29,35,30,2.357552004618084
em0rbvtr,pie,30,46,40,2.6147098441152083
em0rbvtr,vertical_bar,31,34,40,2.6147098441152083
em0rbvtr,pie,32,96,100,2.0443941193584534
em0rbvtr,vertical_bar,33,83,85,1.0874628412503393
em0rbvtr,vertical_bar,34,50,50,0
em0rbvtr,pie,35,55,60,2.357552004618084
em0rbvtr,horizontal_bar,36,15,20,2.357552004618084
em0rbvtr,pie,37,98,100,1.0874628412503393
em0rbvtr,horizontal_bar,38,8,10,1.0874628412503393
em0rbvtr,horizontal_bar,39,18,25,2.8328900141647417
em0rbvtr,vertical_bar,40,83,80,1.6438561897747248
em0rbvtr,vertical_bar,41,23,25,1.0874628412503393
em0rbvtr,vertical_bar,42,64,55,3.189824558880017
em0rbvtr,horizontal_bar,43,11,15,2.0443941193584534
em0rbvtr,pie,44,20,20,0
em0rbvtr,pie,45,49,65,4.011227255423254
em0rbvtr,horizontal_bar,46,89,85,2.0443941193584534
em0rbvtr,vertical_bar,47,56,50,2.6147098441152083
em0rbvtr,vertical_bar,48,65,60,2.357552004618084
em0rbvtr,vertical_bar,49,22,75,5.731319031025064
em0rbvtr,vertical_bar,50,92,90,1.0874628412503393
em0rbvtr,vertical_bar,51,93,95,1.0874628412503393
em0rbvtr,vertical_bar,52,14,20,2.6147098441152083
em0rbvtr,pie,53,72,70,1.0874628412503393
em0rbvtr,pie,54,0,0,0
em0rbvtr,pie,55,5,5,0
em0rbvtr,vertical_bar,56,90,95,2.357552004618084
em0rbvtr,pie,57,38,40,1.0874628412503393
em0rbvtr,pie,58,42,35,2.8328900141647417
em0rbvtr,pie,59,75,85,3.3398500028846247
em0rbvtr,pie,60,23,35,3.599912842187128
swiri62b,pie,1,8,15,2.8328900141647417
swiri62b,vertical_bar,2,3,5,1.0874628412503393
swiri62b,vertical_bar,3,20,45,4.651051691178929
swiri62b,pie,4,20,15,2.357552004618084
swiri62b,vertical_bar,5,89,85,2.0443941193584534
swiri62b,pie,6,55,60,2.357552004618084
swiri62b,vertical_bar,7,15,15,0
swiri62b,horizontal_bar,8,11,10,0.16992500144231237
swiri62b,vertical_bar,9,60,60,0
swiri62b,horizontal_bar,10,95,90,2.357552004618084
swiri62b,pie,11,94,100,2.6147098441152083
swiri62b,vertical_bar,12,0,0,0
swiri62b,pie,13,58,60,1.0874628412503393
swiri62b,horizontal_bar,14,77,80,1.6438561897747248
swiri62b,vertical_bar,15,62,55,2.8328900141647417
swiri62b,pie,16,49,60,3.4757334309663976
swiri62b,horizontal_bar,17,0,0,0
swiri62b,horizontal_bar,18,21,20,0.16992500144231237
swiri62b,pie,19,91,100,3.189824558880017
swiri62b,horizontal_bar,20,51,55,2.0443941193584534
swiri62b,pie,21,25,35,3.3398500028846247
swiri62b,pie,22,30,40,3.3398500028846247
swiri62b,vertical_bar,23,78,80,1.0874628412503393
swiri62b,pie,24,42,50,3.0223678130284544
swiri62b,vertical_bar,25,75,75,0
swiri62b,vertical_bar,26,88,90,1.0874628412503393
swiri62b,vertical_bar,27,62,55,2.8328900141647417
swiri62b,horizontal_bar,28,40,45,2.357552004618084
swiri62b,pie,29,88,100,3.599912842187128
swiri62b,horizontal_bar,30,51,50,0.16992500144231237
swiri62b,horizontal_bar,31,63,75,3.599912842187128
swiri62b,pie,32,16,15,0.16992500144231237
swiri62b,pie,33,43,60,4.098032082960526
swiri62b,horizontal_bar,34,73,80,2.8328900141647417
swiri62b,vertical_bar,35,46,50,2.0443941193584534
swiri62b,vertical_bar,36,24,25,0.16992500144231237
swiri62b,horizontal_bar,37,6,10,2.0443941193584534
swiri62b,horizontal_bar,38,96,90,2.6147098441152083
swiri62b,pie,39,52,60,3.0223678130284544
swiri62b,vertical_bar,40,99,100,0.16992500144231237
swiri62b,horizontal_bar,41,9,10,0.16992500144231237
swiri62b,vertical_bar,42,36,40,2.0443941193584534
swiri62b,vertical_bar,43,81,80,0.16992500144231237
swiri62b,vertical_bar,44,17,15,1.0874628412503393
swiri62b,horizontal_bar,45,80,85,2.357552004618084
swiri62b,vertical_bar,46,25,40,3.9188632372745946
swiri62b,horizontal_bar,47,4,10,2.6147098441152083
swiri62b,pie,48,34,40,2.6147098441152083
swiri62b,pie,49,23,20,1.6438561897747248
swiri62b,vertical_bar,50,91,90,0.16992500144231237
swiri62b,vertical_bar,51,96,95,0.16992500144231237
swiri62b,horizontal_bar,52,3,5,1.0874628412503393
swiri62b,horizontal_bar,53,9,15,2.6147098441152083
swiri62b,pie,54,19,25,2.6147098441152083
swiri62b,horizontal_bar,55,25,25,0
swiri62b,horizontal_bar,56,10,15,2.357552004618084
swiri62b,horizontal_bar,57,85,85,0
swiri62b,pie,58,77,100,4.531381460516312
swiri62b,pie,59,37,45,3.0223678130284544
swiri62b,pie,60,24,35,3.4757334309663976
